billing_staff_id,staff_id,role
1,1,Billing Clerk
2,2,Billing Clerk
3,3,Insurance Coordinator
4,4,Billing Manager
5,5,Billing Manager
6,6,Billing Manager
7,7,Billing Clerk
8,8,Billing Clerk
9,9,Cashier
10,10,Billing Clerk
11,11,Billing Clerk
12,12,Billing Clerk
13,13,Billing Manager
14,14,Billing Manager
15,15,Billing Clerk
16,16,Billing Manager
17,17,Cashier
18,18,Billing Manager
19,19,Cashier
20,20,Insurance Coordinator
21,21,Billing Clerk
22,22,Billing Manager
23,23,Cashier
24,24,Insurance Coordinator
25,25,Insurance Coordinator
26,26,Billing Manager
27,27,Billing Manager
28,28,Insurance Coordinator
29,29,Billing Clerk
30,30,Billing Clerk
31,31,Cashier
32,32,Billing Clerk
33,33,Insurance Coordinator
34,34,Insurance Coordinator
35,35,Insurance Coordinator
36,36,Billing Clerk
37,37,Cashier
38,38,Billing Clerk
39,39,Cashier
40,40,Billing Clerk
41,41,Insurance Coordinator
42,42,Insurance Coordinator
43,43,Billing Manager
44,44,Billing Clerk
45,45,Billing Clerk
46,46,Billing Manager
47,47,Insurance Coordinator
48,48,Billing Clerk
49,49,Billing Manager
50,50,Billing Clerk
51,51,Cashier
52,52,Insurance Coordinator
53,53,Cashier
54,54,Insurance Coordinator
55,55,Billing Manager
56,56,Insurance Coordinator
57,57,Insurance Coordinator
58,58,Billing Manager
59,59,Insurance Coordinator
60,60,Billing Clerk
61,61,Billing Manager
62,62,Billing Manager
63,63,Billing Manager
64,64,Cashier
65,65,Cashier
66,66,Insurance Coordinator
67,67,Billing Manager
68,68,Insurance Coordinator
69,69,Billing Clerk
70,70,Billing Manager
71,71,Billing Clerk
72,72,Insurance Coordinator
73,73,Cashier
74,74,Insurance Coordinator
75,75,Billing Clerk
76,76,Billing Manager
77,77,Insurance Coordinator
78,78,Billing Manager
79,79,Cashier
80,80,Cashier
81,81,Cashier
82,82,Billing Manager
83,83,Insurance Coordinator
84,84,Billing Manager
85,85,Billing Manager
86,86,Insurance Coordinator
87,87,Cashier
88,88,Cashier
89,89,Insurance Coordinator
90,90,Billing Manager
91,91,Billing Manager
92,92,Cashier
93,93,Billing Clerk
94,94,Billing Clerk
95,95,Billing Clerk
96,96,Billing Manager
97,97,Billing Manager
98,98,Cashier
99,99,Billing Clerk
100,100,Cashier
101,101,Cashier
102,102,Cashier
103,103,Insurance Coordinator
104,104,Billing Clerk
105,105,Billing Clerk
106,106,Insurance Coordinator
107,107,Insurance Coordinator
108,108,Billing Clerk
109,109,Insurance Coordinator
110,110,Cashier
