item_id,invoice_id,service_name,cost
1,110,ECG,1897.95
2,249,Consultation,491.76
3,71,X-Ray,200.47
4,433,MRI Scan,1039.99
5,277,Physical Examination,123.61
6,173,Medication Charge,305.55
7,193,X-Ray,366.38
8,426,Medication Charge,1627.64
9,85,CT Scan,135.20
10,187,Consultation,1940.70
11,313,Hospital Stay,1517.16
12,402,CT Scan,506.31
13,123,Hospital Stay,1932.91
14,402,CT Scan,1812.75
15,100,ECG,1372.70
16,293,CT Scan,950.28
17,145,Ultrasound,1030.67
18,215,X-Ray,1642.94
19,411,Medication Charge,319.88
20,129,Blood Test,1300.30
21,448,ECG,1131.35
22,53,Physical Examination,1709.77
23,146,MRI Scan,1538.08
24,140,CT Scan,1815.35
25,76,Ultrasound,228.84
26,467,Consultation,1642.57
27,453,ECG,1864.42
28,213,Blood Test,823.09
29,192,Consultation,803.02
30,42,ECG,487.85
31,164,MRI Scan,1686.39
32,333,ECG,1593.19
33,71,Blood Test,609.41
34,425,CT Scan,1407.34
35,72,CT Scan,924.77
36,3,MRI Scan,87.06
37,111,X-Ray,1120.17
38,373,Medication Charge,1079.15
39,57,Hospital Stay,513.40
40,63,Blood Test,514.96
41,328,Medication Charge,941.37
42,57,CT Scan,1213.64
43,9,Physical Examination,1171.34
44,368,X-Ray,617.98
45,1,Medication Charge,737.99
46,293,Ultrasound,415.26
47,343,MRI Scan,1070.79
48,185,MRI Scan,1909.14
49,279,Physical Examination,1583.50
50,260,Physical Examination,89.65
51,448,CT Scan,134.89
52,199,ECG,544.62
53,9,ECG,1587.61
54,177,Consultation,1479.23
55,322,MRI Scan,1554.43
56,377,ECG,310.15
57,181,Physical Examination,710.17
58,330,X-Ray,1669.25
59,351,CT Scan,1962.60
60,246,X-Ray,1632.42
61,33,CT Scan,122.12
62,104,Blood Test,1592.66
63,454,Blood Test,665.41
64,159,Physical Examination,826.54
65,418,Physical Examination,973.13
66,19,Consultation,607.92
67,442,Blood Test,1738.31
68,170,Hospital Stay,292.73
69,189,Ultrasound,1784.50
70,381,CT Scan,1794.54
