payment_id,invoice_id,payment_date,amount,payment_method
1,366,2025-04-29,1590.27,Other
2,213,2025-10-11,4807.96,Insurance
3,167,2025-04-01,1542.54,Bank Transfer
4,220,2025-12-17,1610.75,Bank Transfer
5,276,2024-05-25,618.76,Insurance
6,112,2025-09-21,4903.91,Credit Card
7,55,2026-02-15,679.12,Bank Transfer
8,464,2024-11-29,2575.01,Insurance
9,491,2025-04-27,1433.50,Cash
10,461,2026-03-08,1789.24,Credit Card
11,394,2024-03-07,1735.19,Credit Card
12,159,2026-02-21,3343.42,Bank Transfer
13,28,2025-07-12,3537.89,Insurance
14,166,2025-12-10,2119.71,Other
15,471,2025-03-15,3464.18,Credit Card
16,280,2025-05-17,3956.55,Bank Transfer
17,246,2025-05-18,437.15,Bank Transfer
18,45,2024-06-18,1730.35,Credit Card
19,329,2025-06-15,4187.40,Credit Card
20,135,2024-03-30,176.28,Bank Transfer
21,398,2025-04-14,4143.70,Credit Card
22,313,2026-01-17,3638.49,Other
23,484,2025-04-01,2136.83,Insurance
24,188,2025-03-07,3833.95,Cash
25,449,2025-03-07,4099.07,Cash
26,444,2024-08-29,4465.24,Credit Card
27,110,2025-01-19,2230.97,Insurance
28,233,2024-09-19,1591.40,Cash
29,18,2026-01-23,4485.17,Other
30,129,2024-07-26,2947.78,Cash
31,384,2026-03-01,3821.48,Other
32,96,2025-12-22,322.10,Cash
33,112,2025-11-18,4589.71,Bank Transfer
34,19,2025-09-29,3691.90,Bank Transfer
35,378,2026-02-12,2580.15,Insurance
36,377,2025-12-01,611.10,Insurance
37,102,2025-12-04,3662.96,Credit Card
38,418,2024-02-24,1095.27,Cash
39,224,2025-02-10,2003.11,Insurance
40,360,2025-01-03,527.40,Other
41,478,2024-09-30,2400.70,Other
42,256,2026-01-03,4534.51,Other
43,240,2025-06-22,2768.08,Bank Transfer
44,180,2025-05-27,3147.34,Insurance
45,318,2026-01-20,4402.93,Insurance
46,359,2025-08-17,2411.59,Cash
47,150,2025-09-05,478.69,Other
48,432,2024-10-27,2112.85,Other
49,28,2025-01-19,2965.09,Credit Card
50,410,2024-08-18,3211.15,Other
51,412,2024-12-28,527.35,Other
52,441,2025-10-26,4815.58,Credit Card
53,486,2024-05-16,3821.53,Other
54,493,2025-02-11,1992.79,Insurance
55,278,2025-11-07,4913.45,Other
56,269,2024-11-04,773.20,Cash
57,118,2024-07-10,4713.23,Bank Transfer
58,31,2025-10-18,1180.15,Cash
59,450,2024-11-20,4583.52,Bank Transfer
60,49,2024-04-08,1399.28,Credit Card
61,21,2026-01-21,2242.75,Insurance
62,192,2024-04-07,4992.34,Credit Card
63,111,2024-12-11,930.02,Other
64,145,2025-09-06,1899.13,Insurance
65,28,2024-09-11,3574.39,Other
66,214,2025-12-06,399.74,Cash
67,277,2024-10-03,3943.46,Other
68,85,2026-02-12,3606.57,Insurance
69,28,2024-11-04,3875.22,Credit Card
70,268,2025-03-10,2736.59,Insurance
71,36,2024-05-26,3489.03,Other
72,230,2025-02-25,2480.02,Credit Card
73,59,2025-10-13,4703.18,Credit Card
74,172,2024-11-03,3173.56,Insurance
75,385,2024-03-10,4965.37,Credit Card
76,436,2024-05-03,1755.02,Credit Card
77,479,2025-11-12,4584.85,Credit Card
78,351,2024-11-07,2814.44,Other
79,445,2025-08-23,3580.45,Bank Transfer
