refund_id,payment_id,refund_date,amount
1,15445,2024-06-29,87.41
2,12346,2025-05-25,153.25
3,16496,2025-08-21,78.42
4,8179,2024-11-29,247.81
5,17895,2025-07-21,294.65
6,10025,2024-07-05,375.18
7,3246,2025-05-03,214.03
8,4442,2025-04-20,250.18
9,6398,2024-02-17,229.38
10,13295,2024-10-17,448.65
11,3585,2026-03-11,218.09
12,2604,2025-06-25,46.32
13,3738,2024-09-13,24.36
14,6897,2026-03-08,198.20
15,14077,2025-07-02,169.56
16,15727,2026-01-22,327.74
17,18768,2024-12-10,75.81
18,6836,2024-11-10,163.29
19,18382,2024-06-25,468.05
20,834,2024-04-18,479.31
21,12886,2024-04-12,384.55
22,2409,2025-10-19,476.31
23,19974,2025-04-20,224.71
24,1534,2025-11-01,339.29
25,3104,2024-11-16,299.20
26,12034,2026-01-04,127.15
27,11387,2026-01-19,215.15
28,4411,2025-07-13,168.78
29,10982,2025-12-19,484.22
30,13691,2024-01-14,55.61
31,9999,2025-02-27,58.80
32,19661,2024-04-07,155.49
33,17871,2024-11-22,67.34
34,15463,2026-03-14,198.96
35,14267,2025-04-27,73.20
36,15661,2025-01-26,350.65
37,9825,2025-03-01,183.88
38,16847,2025-09-25,193.82
39,16850,2025-03-11,109.19
40,11690,2024-02-23,97.86
41,8723,2024-08-18,82.21
42,8286,2024-03-05,138.00
43,4920,2024-06-05,106.29
44,2461,2024-10-31,271.60
45,6532,2025-10-18,335.04
46,2250,2024-03-10,141.75
47,14952,2025-02-16,28.55
48,1677,2024-04-11,346.63
49,11983,2024-09-15,238.53
50,17102,2024-12-31,116.79
51,19130,2024-01-14,378.96
52,11529,2025-11-09,234.51
53,7234,2024-10-12,41.90
54,12661,2024-03-19,400.48
55,14185,2024-08-27,121.29
56,9899,2025-07-26,118.17
57,11720,2025-07-22,148.91
58,15964,2024-01-08,294.43
59,14682,2024-07-25,434.22
60,12587,2026-03-05,46.62
61,5091,2024-11-09,268.45
62,7664,2024-07-05,447.57
63,1915,2024-05-04,453.53
64,12164,2025-07-03,444.67
65,1834,2025-01-07,215.31
66,6160,2026-03-05,415.11
67,1946,2024-12-31,115.21
68,10892,2024-11-13,88.38
69,3649,2024-06-07,329.47
70,1751,2025-05-22,371.70
71,1890,2024-01-01,374.32
72,1377,2024-07-17,373.02
73,2514,2024-11-11,469.20
74,410,2024-06-06,445.90
75,5595,2025-07-13,352.12
76,10436,2024-10-06,153.96
77,6741,2025-01-19,277.22
78,5801,2024-07-31,46.45
79,11652,2026-01-23,408.53
80,17593,2024-05-16,318.18
81,3249,2024-04-03,335.08
82,7709,2025-02-13,290.66
83,19999,2024-08-27,69.37
84,13580,2025-11-28,81.17
85,6372,2025-05-23,239.81
86,7411,2024-07-16,339.75
87,3307,2025-08-26,56.15
88,15386,2024-12-14,438.58
89,16146,2026-03-01,130.90
90,13702,2024-07-10,54.65
91,7230,2024-07-03,358.73
92,7912,2025-08-15,480.65
93,3003,2026-03-19,75.21
94,1934,2025-11-27,239.50
95,15065,2024-07-26,150.37
96,4020,2025-03-07,279.35
97,9512,2024-10-14,345.30
98,12931,2024-12-14,309.05
99,16723,2024-04-17,31.69
100,6423,2024-06-06,99.45
101,16503,2026-01-20,270.62
102,17932,2026-02-26,346.56
103,3014,2025-08-27,208.71
104,18849,2025-02-08,177.56
105,261,2026-02-03,427.30
106,4401,2025-07-13,50.26
107,11749,2024-08-15,262.66
108,9466,2026-01-23,366.49
109,9358,2025-10-03,143.96
110,17968,2025-09-04,400.32
111,7069,2026-01-02,476.48
112,1655,2024-11-12,376.97
113,12607,2024-07-02,150.68
114,5879,2025-08-25,52.75
115,2489,2025-06-15,137.30
116,15109,2025-01-26,463.78
117,8043,2025-03-17,454.73
118,19748,2025-05-02,322.42
119,5462,2025-02-24,89.69
120,5657,2025-02-20,328.61
121,7676,2024-07-03,64.07
122,1242,2024-09-06,211.80
123,12152,2024-06-01,317.75
124,2164,2024-03-27,472.45
125,15665,2025-05-18,274.51
